epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2673.25,0.59252,0.5433,0.01097,0.55146,0.66779,0.64734,0.53222,0.82571,1.03355,0.02318,0.0002179,0.0002179,0.0002179
81,2708.37,0.60929,0.59601,0.01155,0.6623,0.63566,0.65926,0.54272,0.78862,1.04151,0.02195,0.000208,0.000208,0.000208
82,2741.2,0.58834,0.57525,0.01125,0.64205,0.62734,0.60539,0.50221,0.80972,1.04664,0.02254,0.0001981,0.0001981,0.0001981
83,2776.91,0.58599,0.54313,0.01061,0.6122,0.66874,0.65928,0.49089,0.82242,0.99114,0.02309,0.0001882,0.0001882,0.0001882
84,2810.25,0.57296,0.56306,0.01094,0.93141,0.52512,0.63419,0.48615,0.79179,0.98423,0.02205,0.0001783,0.0001783,0.0001783
85,2844.15,0.57456,0.53058,0.01044,0.75937,0.59154,0.69642,0.52834,0.80419,1.00168,0.02258,0.0001684,0.0001684,0.0001684
86,2877.24,0.56339,0.51801,0.01037,0.88302,0.65791,0.66631,0.47673,0.79561,1.06521,0.0222,0.0001585,0.0001585,0.0001585
87,2910.65,0.55675,0.51907,0.01035,0.64184,0.64681,0.67584,0.49663,0.79162,1.0338,0.02206,0.0001486,0.0001486,0.0001486
88,2944.69,0.55956,0.50195,0.01041,0.91434,0.54392,0.64214,0.47575,0.77245,1.02826,0.02145,0.0001387,0.0001387,0.0001387
89,2978,0.55987,0.52119,0.01016,0.9455,0.52441,0.64496,0.50405,0.76632,1.0151,0.02124,0.0001288,0.0001288,0.0001288
90,3011.16,0.56027,0.50001,0.01008,0.80146,0.66126,0.59006,0.46784,0.77564,1.02655,0.02154,0.0001189,0.0001189,0.0001189
91,3045.13,0.42115,0.26629,0.01047,0.79955,0.65366,0.63868,0.46809,0.7922,1.09735,0.02209,0.000109,0.000109,0.000109
92,3078.24,0.39583,0.22204,0.00988,0.82099,0.64361,0.6489,0.49562,0.78376,1.02539,0.02183,9.91e-05,9.91e-05,9.91e-05
93,3111.34,0.38537,0.22467,0.0096,0.97351,0.65053,0.70342,0.5434,0.77461,1.03558,0.02138,8.92e-05,8.92e-05,8.92e-05
94,3144.37,0.37995,0.21842,0.00928,0.81797,0.6801,0.65167,0.50496,0.77624,1.02724,0.02147,7.93e-05,7.93e-05,7.93e-05
95,3177.41,0.36038,0.20607,0.00862,0.94797,0.52821,0.63715,0.49625,0.75934,1.01207,0.02097,6.94e-05,6.94e-05,6.94e-05
96,3210.5,0.37707,0.20341,0.00901,0.95207,0.52642,0.63507,0.48328,0.77512,1.0336,0.02144,5.95e-05,5.95e-05,5.95e-05
97,3243.94,0.36118,0.18404,0.00852,0.95706,0.53662,0.64389,0.50215,0.7742,1.03103,0.02135,4.96e-05,4.96e-05,4.96e-05
98,3276.66,0.34685,0.18693,0.00808,0.93854,0.54823,0.65337,0.5123,0.76285,1.0271,0.0211,3.97e-05,3.97e-05,3.97e-05
99,3309.34,0.34319,0.19149,0.00775,0.62592,0.67437,0.65415,0.50921,0.75481,1.05138,0.02097,2.98e-05,2.98e-05,2.98e-05
100,3342.13,0.32849,0.18101,0.0077,0.66192,0.6737,0.67452,0.51341,0.75507,1.0611,0.02105,1.99e-05,1.99e-05,1.99e-05
